time	Torso_X	Torso_Y	Torso_Z	Torso_RXV	Torso_RYV	Torso_RZV	Torso_XV	Torso_YV	Torso_ZV	Torso_R00	Torso_R01	Torso_R02	Torso_R10	Torso_R11	Torso_R12	Torso_R20	Torso_R21	Torso_R22	RightThigh_X	RightThigh_Y	RightThigh_Z	RightThigh_RXV	RightThigh_RYV	RightThigh_RZV	RightThigh_XV	RightThigh_YV	RightThigh_ZV	RightThigh_R00	RightThigh_R01	RightThigh_R02	RightThigh_R10	RightThigh_R11	RightThigh_R12	RightThigh_R20	RightThigh_R21	RightThigh_R22	RightLeg_X	RightLeg_Y	RightLeg_Z	RightLeg_RXV	RightLeg_RYV	RightLeg_RZV	RightLeg_XV	RightLeg_YV	RightLeg_ZV	RightLeg_R00	RightLeg_R01	RightLeg_R02	RightLeg_R10	RightLeg_R11	RightLeg_R12	RightLeg_R20	RightLeg_R21	RightLeg_R22	RightFoot_X	RightFoot_Y	RightFoot_Z	RightFoot_RXV	RightFoot_RYV	RightFoot_RZV	RightFoot_XV	RightFoot_YV	RightFoot_ZV	RightFoot_R00	RightFoot_R01	RightFoot_R02	RightFoot_R10	RightFoot_R11	RightFoot_R12	RightFoot_R20	RightFoot_R21	RightFoot_R22	LeftThigh_X	LeftThigh_Y	LeftThigh_Z	LeftThigh_RXV	LeftThigh_RYV	LeftThigh_RZV	LeftThigh_XV	LeftThigh_YV	LeftThigh_ZV	LeftThigh_R00	LeftThigh_R01	LeftThigh_R02	LeftThigh_R10	LeftThigh_R11	LeftThigh_R12	LeftThigh_R20	LeftThigh_R21	LeftThigh_R22	LeftLeg_X	LeftLeg_Y	LeftLeg_Z	LeftLeg_RXV	LeftLeg_RYV	LeftLeg_RZV	LeftLeg_XV	LeftLeg_YV	LeftLeg_ZV	LeftLeg_R00	LeftLeg_R01	LeftLeg_R02	LeftLeg_R10	LeftLeg_R11	LeftLeg_R12	LeftLeg_R20	LeftLeg_R21	LeftLeg_R22	LeftFoot_X	LeftFoot_Y	LeftFoot_Z	LeftFoot_RXV	LeftFoot_RYV	LeftFoot_RZV	LeftFoot_XV	LeftFoot_YV	LeftFoot_ZV	LeftFoot_R00	LeftFoot_R01	LeftFoot_R02	LeftFoot_R10	LeftFoot_R11	LeftFoot_R12	LeftFoot_R20	LeftFoot_R21	LeftFoot_R22
0.0002	0	0	3.09176	0	-6.16647e-18	-0.161579	-9.63915	-4.40918	-3.20871e-17	-0.939507	-0.342528	0	0	-3.81639e-17	-1	0.342528	-0.939507	-3.81639e-17	0	0	3.09176	-4.69568e-18	3.997e-18	4.81557	2.89041	10.198	-3.20871e-17	0.348143	0.937442	0	-2.90612e-17	2.47372e-17	-1	-0.937442	0.348143	-3.81639e-17	0.386438	-3.2258e-17	2.0512	-6.14393e-18	5.2684e-19	4.91051	-6.67382	14.3321	-3.65238e-17	-0.261008	0.965337	0	-3.80244e-17	3.26058e-18	-1	-0.965337	-0.261008	-3.81639e-17	0.0706185	-7.82675e-17	0.88314	2.52942e-18	5.62383e-18	8.33296	21.3401	-0.407852	-3.71612e-17	0.997333	-0.07299	0	1.56544e-17	3.48055e-17	-1	0.07299	0.997333	-3.81639e-17	0	0	3.09176	-5.73511e-18	2.26581e-18	-4.2326	-0.558937	10.585	-3.20871e-17	0.0266445	0.999645	0	-3.54943e-17	1.40229e-17	-1	-0.999645	0.0266445	-3.81639e-17	0.0295754	-3.93986e-17	1.98215	-5.37365e-18	-3.02479e-18	-2.32333	-4.9228	3.27609	-3.46021e-17	-0.759337	0.650697	0	-3.32572e-17	-1.87202e-17	-1	-0.650697	-0.759337	-3.81639e-17	-0.889223	-7.96398e-17	1.19481	-6.13012e-18	6.68605e-19	-3.0925	-3.73216	3.24362	-3.09421e-17	-0.238642	0.971108	0	-3.79389e-17	4.13795e-18	-1	-0.971108	-0.238642	-3.81639e-17
0.0004	0.00211326	0	3.09193	0	-1.60427e-17	-0.159449	-9.63813	-4.39501	-8.32554e-17	-0.939496	-0.342559	0	0	-1.00614e-16	-1	0.342559	-0.939496	-1.00614e-16	0.00211326	0	3.09193	-1.22059e-17	1.04108e-17	4.91267	2.91067	10.1852	-8.32554e-17	0.349045	0.937106	0	-7.6551e-17	6.52925e-17	-1	-0.937106	0.349045	-1.00614e-16	0.389553	-8.49717e-17	2.05174	-1.59827e-17	1.38685e-18	4.77651	-6.71218	14.4213	-9.48114e-17	-0.26006	0.965593	0	-1.00237e-16	8.69776e-18	-1	-0.965593	-0.26006	-1.00614e-16	0.0748811	-2.06259e-16	0.883371	6.60541e-18	1.46198e-17	8.23474	21.2837	-0.36208	-9.64895e-17	0.99721	-0.0746521	0	4.14266e-17	9.16897e-17	-1	0.0746521	0.99721	-1.00614e-16	0.00211326	0	3.09193	-1.49253e-17	5.88259e-18	-4.19091	-0.554755	10.5784	-8.32554e-17	0.0257983	0.999667	0	-9.36058e-17	3.68933e-17	-1	-0.999667	0.0257983	-1.00614e-16	0.0307493	-1.03902e-16	1.9823	-1.39767e-17	-7.87535e-18	-2.45789	-4.9497	3.30623	-8.97851e-17	-0.75964	0.650344	0	-8.76566e-17	-4.93912e-17	-1	-0.650344	-0.75964	-1.00614e-16	-0.888415	-2.09967e-16	1.19538	-1.59492e-17	1.7301e-18	-2.91886	-3.83175	3.1508	-8.02559e-17	-0.239243	0.97096	0	-1.00027e-16	1.08505e-17	-1	-0.97096	-0.239243	-1.00614e-16
0.0006	0.00422537	0	3.09209	0	1.67545e-18	-0.160972	-9.63922	-4.3967	8.62168e-18	-0.939485	-0.342589	0	0	1.04083e-17	-1	0.342589	-0.939485	1.04083e-17	0.00422537	0	3.09209	1.27364e-18	-1.08856e-18	4.87342	2.92044	10.1841	8.62168e-18	0.349966	0.936762	0	7.91222e-18	-6.76242e-18	-1	-0.936762	0.349966	1.04083e-17	0.392687	8.78256e-18	2.05228	1.66903e-18	-1.46485e-19	4.86182	-6.67872	14.3904	9.82998e-18	-0.259137	0.96584	0	1.03685e-17	-9.10005e-19	-1	-0.96584	-0.259137	1.04083e-17	0.0791313	2.13284e-17	0.883618	-6.92408e-19	-1.52568e-18	8.22285	21.3406	-0.432402	1.00072e-17	0.997085	-0.0762943	0	-4.30143e-18	-9.47794e-18	-1	0.0762943	0.997085	1.04083e-17	0.00422537	0	3.09209	1.55924e-18	-6.13099e-19	-4.22343	-0.56445	10.5796	8.62168e-18	0.0249603	0.999688	0	9.68644e-18	-3.80874e-18	-1	-0.999688	0.0249603	1.04083e-17	0.0319314	1.07519e-17	1.98244	1.4593e-18	8.23144e-19	-2.46177	-4.92758	3.2784	9.30222e-18	-0.759959	0.649971	0	9.06558e-18	5.1136e-18	-1	-0.649971	-0.759959	1.04083e-17	-0.887619	2.17213e-17	1.19597	1.66577e-18	-1.79766e-19	-2.79086	-3.83298	3.11113	8.30622e-18	-0.23981	0.97082	0	1.03483e-17	-1.11676e-18	-1	-0.97082	-0.23981	1.04083e-17
0.0008	0.00633781	0	3.09226	0	-1.86035e-17	-0.162488	-9.6402	-4.39834	-9.49383e-17	-0.939474	-0.342619	0	0	-1.14492e-16	-1	0.342619	-0.939474	-1.14492e-16	0.00633781	0	3.09226	-1.41298e-17	1.21012e-17	4.83699	2.93007	10.183	-9.49383e-17	0.350879	0.936421	0	-8.69594e-17	7.44743e-17	-1	-0.936421	0.350879	-1.14492e-16	0.395813	-9.6525e-17	2.05283	-1.85306e-17	1.64513e-18	4.94283	-6.64677	14.3622	-1.08371e-16	-0.258198	0.966092	0	-1.14043e-16	1.01246e-17	-1	-0.966092	-0.258198	-1.14492e-16	0.0833936	-2.34517e-16	0.883858	7.71662e-18	1.69276e-17	8.2078	21.3955	-0.500091	-1.10361e-16	0.996959	-0.077934	0	4.74905e-17	1.04178e-16	-1	0.077934	0.996959	-1.14492e-16	0.00633781	0	3.09226	-1.73187e-17	6.79354e-18	-4.25516	-0.574222	10.5806	-9.49383e-17	0.0241159	0.999709	0	-1.06585e-16	4.18096e-17	-1	-0.999709	0.0241159	-1.14492e-16	0.0331065	-1.18309e-16	1.98258	-1.61993e-17	-9.14732e-18	-2.46139	-4.90608	3.25099	-1.02479e-16	-0.760279	0.649596	0	-9.96954e-17	-5.62955e-17	-1	-0.649596	-0.760279	-1.14492e-16	-0.886831	-2.38941e-16	1.19657	-1.84972e-17	1.98632e-18	-2.67479	-3.83137	3.07645	-9.14109e-17	-0.240351	0.970686	0	-1.13837e-16	1.22244e-17	-1	-0.970686	-0.240351	-1.14492e-16
0.001	0.00845054	0	3.09242	0	-1.75032e-17	-0.16274	-9.6398	-4.39584	-8.89091e-17	-0.939463	-0.342649	0	0	-1.07553e-16	-1	0.342649	-0.939463	-1.07553e-16	0.00845054	0	3.09242	-1.32827e-17	1.13987e-17	4.78967	2.9419	10.1781	-8.89091e-17	0.351784	0.936081	0	-8.16192e-17	7.00423e-17	-1	-0.936081	0.351784	-1.07553e-16	0.398931	-9.05973e-17	2.05337	-1.7433e-17	1.56563e-18	5.03535	-6.60351	14.3225	-1.01562e-16	-0.257243	0.966347	0	-1.07122e-16	9.62039e-18	-1	-0.966347	-0.257243	-1.07553e-16	0.0876674	-2.20215e-16	0.884093	7.28687e-18	1.59142e-17	8.16795	21.4489	-0.578923	-1.03456e-16	0.996829	-0.0795705	0	4.4776e-17	9.77892e-17	-1	0.0795705	0.996829	-1.07553e-16	0.00845054	0	3.09242	-1.62996e-17	6.3784e-18	-4.23856	-0.580694	10.5788	-8.89091e-17	0.0232651	0.999729	0	-1.00157e-16	3.91937e-17	-1	-0.999729	0.0232651	-1.07553e-16	0.0342748	-1.11175e-16	1.98272	-1.52372e-17	-8.61331e-18	-2.55648	-4.92193	3.25826	-9.59891e-17	-0.760599	0.649222	0	-9.3629e-17	-5.29267e-17	-1	-0.649222	-0.760599	-1.07553e-16	-0.88605	-2.24466e-16	1.19716	-1.74041e-17	1.86009e-18	-2.49582	-3.90711	2.99784	-8.5567e-17	-0.240871	0.970557	0	-1.06944e-16	1.14298e-17	-1	-0.970557	-0.240871	-1.07553e-16
0.0012	0.010563	0	3.09259	0	-1.98746e-17	-0.163671	-9.64	-4.39737	-1.00506e-16	-0.939452	-0.34268	0	0	-1.21431e-16	-1	0.34268	-0.939452	-1.21431e-16	0.010563	0	3.09259	-1.50695e-17	1.2958e-17	4.68653	2.95094	10.1764	-1.00506e-16	0.352681	0.935744	0	-9.20723e-17	7.91713e-17	-1	-0.935744	0.352681	-1.21431e-16	0.402039	-1.022e-16	2.05391	-1.97931e-17	1.79832e-18	5.21025	-6.52793	14.2334	-1.14889e-16	-0.25627	0.966605	0	-1.20933e-16	1.09875e-17	-1	-0.966605	-0.25627	-1.21431e-16	0.0919528	-2.48529e-16	0.88432	8.30423e-18	1.80566e-17	8.18333	21.5388	-0.704532	-1.17065e-16	0.996698	-0.0811988	0	5.07375e-17	1.10323e-16	-1	0.0811988	0.996698	-1.21431e-16	0.010563	0	3.09259	-1.85139e-17	7.22749e-18	-4.22739	-0.59067	10.5791	-1.00506e-16	0.0224176	0.999749	0	-1.13117e-16	4.41588e-17	-1	-0.999749	0.0224176	-1.21431e-16	0.0354466	-1.2556e-16	1.98287	-1.7297e-17	-9.78857e-18	-2.6283	-4.93694	3.26017	-1.08528e-16	-0.760931	0.648833	0	-1.05682e-16	-5.98065e-17	-1	-0.648833	-0.760931	-1.21431e-16	-0.88528	-2.53434e-16	1.19778	-1.97631e-17	2.10289e-18	-2.3543	-3.96874	2.9375	-9.66841e-17	-0.241355	0.970437	0	-1.20749e-16	1.28483e-17	-1	-0.970437	-0.241355	-1.21431e-16
0.0014	0.0126757	0	3.09275	0	1.99397e-17	-0.164207	-9.63952	-4.39655	1.00391e-16	-0.939441	-0.342711	0	0	1.21431e-16	-1	0.342711	-0.939441	1.21431e-16	0.0126757	0	3.09275	1.51063e-17	-1.30151e-17	4.63156	2.96112	10.1726	1.00391e-16	0.353558	0.935413	0	9.19955e-17	-7.92605e-17	-1	-0.935413	0.353558	1.21431e-16	0.405125	1.02115e-16	2.05445	1.9856e-17	-1.82556e-18	5.31309	-6.48054	14.1873	1.14838e-16	-0.255262	0.966872	0	1.20921e-16	-1.11174e-17	-1	-0.966872	-0.255262	1.21431e-16	0.0962577	2.48429e-16	0.884531	-8.36167e-18	-1.81018e-17	8.14908	21.5963	-0.788179	1.17047e-16	0.996564	-0.0828299	0	-5.09216e-17	-1.10238e-16	-1	0.0828299	0.996564	1.21431e-16	0.0126757	0	3.09275	1.85804e-17	-7.23607e-18	-4.21431	-0.598683	10.5779	1.00391e-16	0.0215724	0.999767	0	1.13153e-16	-4.40668e-17	-1	-0.999767	0.0215724	1.21431e-16	0.036621	1.25599e-16	1.98301	1.73488e-17	9.8292e-18	-2.69125	-4.95128	3.26395	1.08423e-16	-0.761272	0.648433	0	1.05652e-16	5.98586e-17	-1	-0.648433	-0.761272	1.21431e-16	-0.884518	2.53438e-16	1.19841	1.98287e-17	-2.10109e-18	-2.23665	-4.02236	2.88718	9.65295e-17	-0.241812	0.970323	0	1.20755e-16	-1.27954e-17	-1	-0.970323	-0.241812	1.21431e-16
0.0016	0.0147882	0	3.09292	0	2.45571e-17	-0.164607	-9.63871	-4.39493	1.23099e-16	-0.93943	-0.342742	0	0	1.49186e-16	-1	0.342742	-0.93943	1.49186e-16	0.0147882	0	3.09292	1.8589e-17	-1.60468e-17	4.59735	2.97157	10.1681	1.23099e-16	0.354424	0.935085	0	1.1293e-16	-9.74856e-17	-1	-0.935085	0.354424	1.49186e-16	0.408199	1.25352e-16	2.05497	2.44515e-17	-2.27508e-18	5.3847	-6.44543	14.1596	1.40911e-16	-0.254235	0.967143	0	1.48545e-16	-1.38213e-17	-1	-0.967143	-0.254235	1.49186e-16	0.100575	3.05091e-16	0.884732	-1.0335e-17	-2.22764e-17	8.09313	21.6397	-0.853279	1.43664e-16	0.996427	-0.084454	0	-6.27859e-17	-1.35331e-16	-1	0.084454	0.996427	1.49186e-16	0.0147882	0	3.09292	2.28902e-17	-8.89316e-18	-4.20047	-0.606031	10.576	1.23099e-16	0.0207297	0.999785	0	1.3906e-16	-5.40266e-17	-1	-0.999785	0.0207297	1.49186e-16	0.0377981	1.54356e-16	1.98316	2.13601e-17	1.21161e-17	-2.74487	-4.9654	3.2683	1.32971e-16	-0.761621	0.648023	0	1.29764e-16	7.36062e-17	-1	-0.648023	-0.761621	1.49186e-16	-0.883763	3.11371e-16	1.19905	2.44215e-17	-2.57751e-18	-2.14142	-4.06881	2.84655	1.1831e-16	-0.242246	0.970215	0	1.48362e-16	-1.56586e-17	-1	-0.970215	-0.242246	1.49186e-16
0.0018	0.0169004	0	3.09308	0	-1.65998e-17	-0.164985	-9.63763	-4.39316	-8.28558e-17	-0.939418	-0.342773	0	0	-1.00614e-16	-1	0.342773	-0.939418	-1.00614e-16	0.0169004	0	3.09308	-1.25552e-17	1.08591e-17	4.57764	2.98189	10.1633	-8.28558e-17	0.355284	0.934758	0	-7.60991e-17	6.58186e-17	-1	-0.934758	0.355284	-1.00614e-16	0.411265	-8.447e-17	2.0555	-1.65267e-17	1.55623e-18	5.4342	-6.41931	14.1449	-9.49094e-17	-0.253193	0.967416	0	-1.00171e-16	9.43252e-18	-1	-0.967416	-0.253193	-1.00614e-16	0.104902	-2.05677e-16	0.884929	7.011e-18	1.50466e-17	8.02147	21.673	-0.904759	-9.67924e-17	0.996289	-0.0860668	0	4.24946e-17	9.11996e-17	-1	0.0860668	0.996289	-1.00614e-16	0.0169004	0	3.09308	-1.54779e-17	5.99901e-18	-4.18762	-0.61331	10.5739	-8.28558e-17	0.0198898	0.999802	0	-9.3814e-17	3.63608e-17	-1	-0.999802	0.0198898	-1.00614e-16	0.0389781	-1.04133e-16	1.9833	-1.44345e-17	-8.19755e-18	-2.78154	-4.97845	3.27178	-8.95147e-17	-0.761976	0.647605	0	-8.74895e-17	-4.96865e-17	-1	-0.647605	-0.761976	-1.00614e-16	-0.883013	-2.09996e-16	1.1997	-1.65088e-17	1.73579e-18	-2.08044	-4.10287	2.82139	-7.95956e-17	-0.242662	0.970111	0	-1.00062e-16	1.05209e-17	-1	-0.970111	-0.242662	-1.00614e-16
0.002	0.0190123	0	3.09325	0	2.69416e-17	-0.165221	-9.6363	-4.39053	1.33898e-16	-0.939407	-0.342804	0	0	1.63064e-16	-1	0.342804	-0.939407	1.63064e-16	0.0190123	0	3.09325	2.03605e-17	-1.76437e-17	4.57942	2.99265	10.1577	1.33898e-16	0.356139	0.934433	0	1.23232e-16	-1.06788e-16	-1	-0.934433	0.356139	1.63064e-16	0.414327	1.36787e-16	2.05603	2.68201e-17	-2.5558e-18	5.4513	-6.40605	14.1493	1.53482e-16	-0.252141	0.96769	0	1.62329e-16	-1.5469e-17	-1	-0.96769	-0.252141	1.63064e-16	0.109236	3.33205e-16	0.885123	-1.14188e-17	-2.4402e-17	7.92751	21.6917	-0.936901	1.56575e-16	0.99615	-0.087665	0	-6.91125e-17	-1.47693e-16	-1	0.087665	0.99615	1.63064e-16	0.0190123	0	3.09325	2.51286e-17	-9.7162e-18	-4.17524	-0.619843	10.5712	1.33898e-16	0.0190524	0.999818	0	1.52091e-16	-5.88073e-17	-1	-0.999818	0.0190524	1.63064e-16	0.0401605	1.68821e-16	1.98345	2.34203e-17	1.33169e-17	-2.81055	-4.99023	3.27512	1.44683e-16	-0.762336	0.647181	0	1.41751e-16	8.06006e-17	-1	-0.647181	-0.762336	1.63064e-16	-0.882267	3.4034e-16	1.20036	2.6795e-17	-2.80693e-18	-2.03416	-4.13055	2.80298	1.28569e-16	-0.243065	0.97001	0	1.62177e-16	-1.69889e-17	-1	-0.97001	-0.243065	1.63064e-16
